time,position,h1,h2,at
2024-12-06 01:53:24.859772,0,196,533,31.8
2024-12-06 01:54:23.348208,0,196,942,33
2024-12-06 01:55:21.965036,0,196,970,34
2024-12-06 01:56:20.585185,0,196,977,35.2
2024-12-06 01:57:19.132324,0,196,970,35.8
2024-12-06 01:58:17.738083,0,196,989,36.5
2024-12-06 01:59:16.295234,0,196,831,37.5
2024-12-06 02:00:14.989907,0,196,921,38.2
2024-12-06 02:01:13.526667,0,198,964,38.8
2024-12-06 02:02:12.132944,0,197,944,38.8
2024-12-06 02:03:10.685039,0,198,948,40.5
2024-12-06 02:04:09.29154,0,197,940,40.5
2024-12-06 02:05:07.876812,0,196,970,40.8
2024-12-06 02:06:06.472155,0,196,940,41.5
2024-12-06 02:07:05.087322,0,196,956,42.5
2024-12-06 02:08:03.621028,0,196,884,40.8
2024-12-06 02:09:02.260556,0,196,969,41
2024-12-06 02:10:00.854404,0,196,933,40.2
2024-12-06 02:10:59.460602,0,196,955,41.2
2024-12-06 02:11:58.06906,0,196,920,42.8
2024-12-06 02:23:43.197034,0,196,972,31.2
2024-12-06 02:24:39.8167,0,196,765,31
2024-12-06 02:25:38.376815,0,196,922,36.2
2024-12-06 02:26:36.94422,0,196,979,38
2024-12-06 02:27:35.613467,0,198,859,39.2
2024-12-06 02:28:34.138322,0,198,958,41.2
2024-12-06 02:29:32.693932,0,196,651,38.8
2024-12-06 02:30:31.300339,0,196,962,39
2024-12-06 02:31:29.933555,0,196,995,40
2024-12-06 02:58:51.24164,0,196,962,31
2024-12-06 03:27:09.934232,0,196,982,34.5
2024-12-06 05:01:53.18982,0,196,978,36.2
2024-12-06 05:02:51.884671,0,196,990,35.2
2024-12-06 05:03:50.369061,0,196,985,35.8
2024-12-06 05:16:25.36552,3,552,4812,30
2024-12-06 05:16:25.413024,3,323,608,30
2024-12-06 05:16:25.637122,3,554,614,30
2024-12-06 05:17:14.688722,3,567,607,30
2024-12-06 05:18:13.168764,3,901,196,30.2
