time,position,rpm
2024-12-11 05:20:27.171578,0,0
2024-12-11 05:20:32.225935,2,0
2024-12-11 05:20:41.852475,2,0
2024-12-11 05:21:27.465266,0,0
2024-12-11 05:21:27.679087,3,0
2024-12-11 05:21:31.757466,2,0
2024-12-11 05:21:32.244658,0,0
2024-12-11 15:14:09.189609,2,0
2024-12-11 15:14:10.309518,3,0
2024-12-11 15:14:14.205697,2,0
2024-12-11 15:14:17.469784,0,0
2024-12-11 15:14:20.306852,3,0
2024-12-11 15:14:22.605774,0,0
2024-12-11 15:14:24.217139,2,0
2024-12-11 15:14:25.336151,3,0
2024-12-11 15:14:29.172236,2,0
2024-12-11 15:14:30.335082,3,0
2024-12-11 15:14:50.329742,3,0
2024-12-11 15:14:52.452935,0,0
2024-12-11 15:14:54.189571,2,0
2024-12-11 15:14:57.460662,0,0
2024-12-11 15:15:00.34309,3,0
2024-12-11 15:15:09.187929,2,0
2024-12-11 15:15:10.367636,3,0
2024-12-11 15:15:12.469548,0,0
2024-12-11 15:15:14.171749,2,0
2024-12-11 15:15:15.37377,3,0
2024-12-11 15:15:17.550467,0,0
2024-12-11 15:15:20.379923,3,0
2024-12-11 15:15:35.453138,3,0
2024-12-11 15:15:37.525893,0,0
2024-12-11 15:15:39.219392,2,0
2024-12-11 15:15:40.496704,3,0
2024-12-11 15:15:42.52459,0,0
2024-12-11 15:15:44.217756,2,0
2024-12-11 15:15:54.26813,2,0
2024-12-11 15:15:55.428384,3,0
2024-12-11 15:16:00.387051,3,0
2024-12-11 15:16:01.138479,0,16
2024-12-11 15:16:04.285812,2,0
2024-12-11 15:16:05.372433,3,0
2024-12-11 15:16:14.372404,2,0
2024-12-11 15:16:17.564983,0,24
2024-12-11 15:16:22.36594,0,24
2024-12-11 15:16:28.606979,0,45
2024-12-11 15:16:29.266581,2,0
2024-12-11 15:16:30.40783,3,0
2024-12-11 15:16:34.964837,0,23
2024-12-11 15:16:35.48235,3,0
2024-12-11 15:16:37.101863,0,27
2024-12-11 15:16:39.281982,2,0
2024-12-11 15:16:40.427714,3,0
2024-12-11 15:16:45.447343,3,0
2024-12-11 15:16:51.385405,0,0
2024-12-11 15:16:55.450073,3,0
2024-12-11 15:16:56.370151,0,0
2024-12-11 15:16:59.355363,2,0
2024-12-11 15:17:04.315995,2,0
2024-12-11 15:17:09.260725,2,0
2024-12-11 15:17:10.465245,3,0
2024-12-11 15:17:14.265461,2,0
2024-12-11 15:17:16.380821,0,0
2024-12-11 15:17:19.275897,2,0
2024-12-11 15:17:21.331834,0,0
2024-12-11 15:17:24.286895,2,0
2024-12-11 15:17:25.487131,3,0
2024-12-11 15:17:26.371951,0,0
2024-12-11 15:17:31.387268,0,0
2024-12-11 15:17:39.322831,2,0
2024-12-11 15:17:40.5024,3,0
2024-12-11 15:17:49.305946,2,0
2024-12-11 15:17:50.526919,3,0
2024-12-11 15:17:51.396533,0,0
2024-12-11 15:17:54.30884,2,0
2024-12-11 15:17:55.506039,3,0
2024-12-11 15:17:59.306652,2,0
2024-12-11 15:18:05.507209,3,0
2024-12-11 15:18:06.401537,0,0
2024-12-11 15:18:10.511791,3,0
2024-12-11 05:20:27.671315,3,0
2024-12-11 05:20:36.28634,0,14
2024-12-11 05:20:41.840893,0,0
2024-12-11 05:20:41.860575,0,365
2024-12-11 05:20:42.691686,3,0
2024-12-11 05:20:47.774756,3,0
2024-12-11 05:20:51.718695,2,0
2024-12-11 05:20:52.73236,3,0
2024-12-11 05:20:55.417045,0,12
2024-12-11 05:20:56.753567,2,0
2024-12-11 05:21:00.170405,0,12
2024-12-11 05:21:01.710231,2,0
2024-12-11 05:21:02.696978,3,0
2024-12-11 05:21:05.125341,0,12
2024-12-11 05:21:07.696493,3,0
2024-12-11 05:21:09.370887,0,14
2024-12-11 05:21:11.780583,2,0
2024-12-11 05:21:12.705202,3,0
2024-12-11 05:21:13.898965,0,13
2024-12-11 05:21:22.667518,3,0
2024-12-11 05:21:27.444945,2,0
2024-12-11 15:14:55.338187,3,0
2024-12-11 15:14:59.139771,2,0
2024-12-11 15:15:02.492732,0,0
2024-12-11 15:15:04.14962,2,0
2024-12-11 15:15:05.380609,3,0
2024-12-11 15:15:07.484836,0,0
2024-12-11 15:15:19.188766,2,0
2024-12-11 15:15:22.497608,0,0
2024-12-11 15:15:24.174039,2,0
2024-12-11 15:15:25.371771,3,0
2024-12-11 15:15:27.511951,0,0
2024-12-11 15:15:29.211439,2,0
2024-12-11 15:15:30.381897,3,0
2024-12-11 15:15:32.499684,0,0
2024-12-11 15:15:34.30778,2,0
2024-12-11 15:15:45.405983,3,0
2024-12-11 15:15:47.548525,0,0
2024-12-11 15:15:49.227378,2,0
2024-12-11 15:15:50.40988,3,0
2024-12-11 15:15:52.524939,0,0
2024-12-11 15:15:57.530346,0,0
2024-12-11 15:15:59.245119,2,0
2024-12-11 15:16:05.349859,0,14
2024-12-11 15:16:09.22966,2,0
2024-12-11 15:16:10.364985,0,0
2024-12-11 15:16:10.379953,3,0
2024-12-11 15:16:15.02014,0,12
2024-12-11 15:16:15.452691,3,0
2024-12-11 15:16:19.254427,2,0
2024-12-11 15:16:19.864622,0,25
2024-12-11 15:16:20.421672,3,0
2024-12-11 15:16:24.412576,2,0
2024-12-11 15:16:25.389518,3,0
2024-12-11 15:16:27.371884,0,0
2024-12-11 15:16:32.352564,0,15
2024-12-11 15:16:34.279539,2,0
2024-12-11 15:16:39.337128,0,28
2024-12-11 15:16:41.363997,0,27
2024-12-11 15:16:43.56296,0,27
2024-12-11 15:16:44.282773,2,0
2024-12-11 15:16:46.367013,0,21
2024-12-11 15:16:49.356276,2,0
2024-12-11 15:16:50.450554,3,0
2024-12-11 15:16:54.240608,2,0
2024-12-11 15:17:00.44649,3,0
2024-12-11 15:17:01.370659,0,0
