time,position,t,p,v
2024-12-20 09:24:56.50351,0,35,1073,2.66
2024-12-20 09:24:56.582666,0,35,1074,2.64
2024-12-20 09:25:03.727911,2,35,945,2.66
2024-12-20 09:25:03.884959,0,35,1074,2.64
2024-12-20 09:25:05.585706,3,35,1034,2.68
2024-12-20 09:25:07.863504,0,35,1074,2.64
2024-12-20 09:25:15.489019,3,35,1034,2.68
2024-12-20 09:25:23.548176,2,35,945,2.66
2024-12-20 09:25:43.504424,0,35,1074,2.64
2024-12-20 09:26:03.897727,0,35,1072,2.64
2024-12-20 09:26:07.137968,1,34,1050,2.62
2024-12-20 09:26:13.812886,0,35,1072,2.64
2024-12-20 09:26:15.484817,3,35,1034,2.68
2024-12-20 09:26:23.546504,2,35,945,2.66
2024-12-20 09:26:23.55368,2,35,945,2.66
2024-12-20 09:26:23.700624,0,35,1072,2.64
2024-12-20 09:26:25.979075,3,35,1034,2.68
2024-12-20 09:49:51.752685,0,35,1081,2.66
2024-12-20 09:50:03.902972,0,35,1074,2.66
2024-12-20 09:50:05.584466,3,36,1035,2.68
2024-12-20 09:50:07.135345,1,36,1058,2.64
2024-12-20 09:50:10.920426,0,35,1074,2.66
2024-12-20 09:50:13.645095,2,37,955,2.66
2024-12-20 09:50:13.827809,0,35,1074,2.66
2024-12-20 09:50:15.487574,3,36,1035,2.68
2024-12-20 09:50:23.713611,0,35,1074,2.66
2024-12-20 09:50:43.51044,0,35,1074,2.66
2024-12-20 09:51:05.593753,3,36,1040,2.68
2024-12-20 09:51:07.705253,1,36,1050,2.64
2024-12-20 09:51:13.650771,2,37,949,2.66
2024-12-20 09:51:13.800886,0,35,1077,2.66
2024-12-20 09:51:15.488924,3,36,1040,2.68
2024-12-20 09:51:23.600352,2,37,949,2.66
2024-12-20 09:51:25.984442,3,36,1036,2.68
2024-12-20 09:51:44.090155,0,35,1074,2.66
2024-12-20 09:51:45.774179,3,36,1036,2.68
2024-12-20 09:51:47.330546,1,36,1050,2.64
2024-12-20 10:12:15.242142,0,36,1079,2.66
2024-12-20 10:12:15.602173,3,37,1045,2.68
2024-12-20 10:12:17.677447,1,38,1066,2.66
2024-12-20 10:12:24.127597,2,40,961,2.68
2024-12-20 10:12:35.882722,3,37,1042,2.68
2024-12-20 10:12:54.008403,0,36,1088,2.66
2024-12-20 10:12:55.688803,3,37,1042,2.68
2024-12-20 10:13:03.764833,2,40,961,2.68
2024-12-20 10:13:05.60393,3,37,1042,2.68
2024-12-20 10:13:13.820851,0,36,1088,2.66
2024-12-20 10:13:17.612595,1,38,1066,2.66
2024-12-20 10:13:25.977614,3,37,1045,2.68
2024-12-20 10:13:27.517477,1,38,1066,2.66
2024-12-20 10:13:33.633048,0,36,1088,2.66
2024-12-20 10:13:35.893603,3,37,1045,2.68
