machine_status,total_number,current_cycle,cycle_remaining_time,total_run_time,current_program_name,spindle_speed,spindle_override,feed_override,x_axis_coordinate,y_axis_coordinate,z_axis_coordinate,c_axis_coordinate,a_axis_coordinate,b_axis_coordinate,program_status,active_alarm,coolant_status
on,4495,108.652,108.652,6552448.158,_N_WARMUP_MPF,5000,100,100,525.0000018,-313.8294412,-113.2623355,136.618471,5.63357759,16.24959561,3,No Active Alarm,On
on,4495,111,111,6552450.51,_N_WARMUP_MPF,5000,100,100,525.0000597,-120.0956847,-81.41355282,54.34785115,16.24959561,11.07299455,3,No Active Alarm,On
on,4495,113.376,113.376,6552452.88,_N_WARMUP_MPF,5000,100,100,483.3191271,-155.6045355,-47.87253541,13.87280616,11.07299455,-0.0000215,3,No Active Alarm,On
on,4495,115.724,115.724,6552455.214,_N_WARMUP_MPF,5000,100,100,400.8825626,-270.4559259,-26.39808589,3.24E-05,-2.15E-05,2.86E-10,3,No Active Alarm,On
on,4495,118.08,118.08,6552457.572,_N_WARMUP_MPF,5000,100,100,239.4383637,-164.0928041,-60.58610621,-2.10E-05,2.86E-10,0.0000107,3,No Active Alarm,On
on,4495,120.456,120.456,6552459.948,_N_WARMUP_MPF,5000,100,100,76.62128663,-57.00622806,-95.00698157,-2.10E-05,1.07E-05,-6.338326531,3,No Active Alarm,On
on,4495,122.816,122.816,6552462.3,_N_WARMUP_MPF,5000,100,100,4.999929984,-111.3519002,-115.0211902,11.3724908,-6.338326531,-18.48379911,3,No Active Alarm,On
on,4495,125.176,125.176,6552464.664,_N_WARMUP_MPF,5000,100,100,4.999941147,-307.7787397,-124.7380106,33.19705608,-18.48379911,-21.09241139,3,No Active Alarm,On
on,4495,127.54,127.54,6552467.016,_N_WARMUP_MPF,5000,100,100,84.27985558,-415.0001064,-130.0000498,66.01501717,-21.09241139,-11.63699429,3,No Active Alarm,On
on,4495,129.9,129.9,6552469.374,_N_WARMUP_MPF,5000,100,100,280.6115828,-415.0000104,-130.0000156,116.9857681,-11.63699429,-2.182542788,3,No Active Alarm,On
on,4495,132.26,132.26,6552471.732,_N_WARMUP_MPF,5000,100,100,477.2800193,-414.9999165,-130.0000097,168.0436075,-2.182542788,7.525545343,3,No Active Alarm,On
on,4495,134.6,134.6,6552474.072,_N_WARMUP_MPF,5000,100,100,525.0000367,-279.2927788,-107.5844388,121.9521799,7.525545343,18.08706051,3,No Active Alarm,On
on,4495,136.94,136.94,6552476.412,_N_WARMUP_MPF,5000,100,100,524.9998625,-86.21808556,-75.90065049,39.96084765,18.08706051,8.460698676,3,No Active Alarm,On
on,4495,139.312,139.312,6552478.776,_N_WARMUP_MPF,5000,100,100,470.9135142,-186.9458376,-41.34296842,10.63982889,8.460698676,0.0000107,3,No Active Alarm,On
on,4495,141.668,141.668,6552481.116,_N_WARMUP_MPF,5000,100,100,372.9252692,-252.2173094,-32.20193633,3.24E-05,1.07E-05,-0.0000107,3,No Active Alarm,On
on,4495,143.976,143.976,6552483.426,_N_WARMUP_MPF,5000,100,100,214.7689008,-148.0204104,-65.69396044,-2.10E-05,-1.07E-05,-0.0000215,3,No Active Alarm,On
on,4495,146.752,146.752,6552486.21,_N_WARMUP_MPF,5000,100,100,23.17106325,-21.61183667,-106.3259626,-2.10E-05,-2.15E-05,-11.45553458,3,No Active Alarm,On
on,4495,149.32,149.32,6552488.772,_N_WARMUP_MPF,5000,100,100,4.999981859,-194.2509223,-119.1146904,20.58348112,-11.45553458,-23.80660658,3,No Active Alarm,On
on,4495,151.72,151.72,6552491.172,_N_WARMUP_MPF,5000,100,100,5.000024029,-394.3405536,-128.9962287,42.81542636,-23.80660658,-17.00596856,3,No Active Alarm,On
on,4495,154.072,154.072,6552493.512,_N_WARMUP_MPF,5000,100,100,168.6141331,-414.9999602,-129.9999363,87.99531415,-17.00596856,-7.310619292,3,No Active Alarm,On
on,4495,156.488,156.488,6552495.93,_N_WARMUP_MPF,5000,100,100,370.9467933,-414.9998803,-130.0000569,140.3517061,-7.310619292,1.938391613,3,No Active Alarm,On
on,4495,158.876,158.876,6552498.312,_N_WARMUP_MPF,5000,100,100,525.0001127,-381.2592981,-124.3453533,165.2529735,1.938391613,12.6086228,3,No Active Alarm,On
on,4495,161.24,161.24,6552500.676,_N_WARMUP_MPF,5000,100,100,525.0000328,-186.538767,-92.336511,82.56278821,12.6086228,16.14372304,3,No Active Alarm,On
on,4495,163.62,163.62,6552503.046,_N_WARMUP_MPF,5000,100,100,507.4073306,-94.74748546,-60.55146164,20.24306675,16.14372304,1.056711732,3,No Active Alarm,On
on,4495,166.004,166.004,6552505.428,_N_WARMUP_MPF,5000,100,100,435.7437357,-275.7933767,-22.83316454,1.384504168,1.056711732,0.0000322,3,No Active Alarm,On
on,4495,168.36,168.36,6552507.78,_N_WARMUP_MPF,5000,100,100,290.4201251,-197.8622198,-49.73204815,-2.10E-05,3.22E-05,0.0000215,3,No Active Alarm,On
on,4495,170.728,170.728,6552510.144,_N_WARMUP_MPF,5000,100,100,127.8782777,-90.7755411,-84.1525379,-2.10E-05,2.15E-05,-2.557080235,3,No Active Alarm,On
on,4495,173.112,173.112,6552512.52,_N_WARMUP_MPF,5000,100,100,4.99971915,-50.09342428,-111.9963909,4.56564464,-2.557080235,-14.74367699,3,No Active Alarm,On
on,4495,175.48,175.48,6552514.89,_N_WARMUP_MPF,5000,100,100,5.000063812,-247.186296,-121.7290663,26.46550065,-14.74367699,-23.99350588,3,No Active Alarm,On
on,4495,177.848,177.848,6552517.248,_N_WARMUP_MPF,5000,100,100,23.94587601,-414.9999977,-129.999947,50.26494109,-23.99350588,-14.55384965,3,No Active Alarm,On
on,4495,180.204,180.204,6552519.612,_N_WARMUP_MPF,5000,100,100,220.2780429,-414.9998156,-130.0000645,101.322647,-14.55384965,-4.970918631,3,No Active Alarm,On
on,4495,182.596,182.596,6552522,_N_WARMUP_MPF,5000,100,100,419.611473,-414.9999881,-130.0000649,153.0721218,-4.970918631,4.642451836,3,No Active Alarm,On
on,4495,184.984,184.984,6552524.382,_N_WARMUP_MPF,5000,100,100,525.0000995,-331.9203105,-116.2355508,144.2997746,4.642451836,15.33017114,3,No Active Alarm,On
on,4495,187.364,187.364,6552526.764,_N_WARMUP_MPF,5000,100,100,525.0000716,-136.8722893,-84.17210027,61.33216872,15.33017114,12.26478306,3,No Active Alarm,On
on,4495,189.744,189.744,6552529.134,_N_WARMUP_MPF,5000,100,100,489.0983232,-141.3026591,-50.85183999,15.39407517,12.26478306,-0.0000322,3,No Active Alarm,On
on,4495,192.104,192.104,6552531.486,_N_WARMUP_MPF,5000,100,100,412.120789,-277.8604183,-24.01810275,3.24E-05,-3.22E-05,-14.05702281,3,No Active Alarm,On
on,4495,205.848,205.848,6552545.22,_N_WARMUP_MPF,5000,100,100,230.6140687,-414.9998353,-129.99993,104.0050886,-14.05702281,-4.073235676,3,No Active Alarm,On
on,4495,208.336,208.336,6552547.704,_N_WARMUP_MPF,5000,100,100,438.2791677,-415.0000186,-130.0000194,157.9190883,-4.073235676,6.029828334,3,No Active Alarm,On
on,4495,210.816,210.816,6552550.176,_N_WARMUP_MPF,5000,100,100,524.9999327,-306.9233671,-112.1244699,133.6848352,6.029828334,16.84378397,3,No Active Alarm,On
on,4495,213.224,213.224,6552552.588,_N_WARMUP_MPF,5000,100,100,524.9999332,-108.9129316,-79.6309802,49.59947412,16.84378397,10.08398239,3,No Active Alarm,On
on,4495,215.612,215.612,6552554.964,_N_WARMUP_MPF,5000,100,100,478.621689,-167.4705164,-45.39961674,12.668486,10.08398239,-0.0000322,3,No Active Alarm,On
on,4495,217.964,217.964,6552557.31,_N_WARMUP_MPF,5000,100,100,389.9193826,-263.2326465,-28.7197982,3.24E-05,-3.22E-05,-2.86E-10,3,No Active Alarm,On
on,4495,220.368,220.368,6552559.716,_N_WARMUP_MPF,5000,100,100,225.1849315,-154.5209176,-63.66308613,-2.10E-05,-2.86E-10,0.0000215,3,No Active Alarm,On
